birth_id,city,date,time,offset_min,any_changed,changed,asc_shift_deg,planet_house_changes
서울-1980-02-15-02:14,서울,1980-02-15,02:14,-120,1,dayPillar|hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|mcSign|planetHouses,24.2333,12
서울-1980-02-15-02:14,서울,1980-02-15,02:14,-60,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|planetHouses,12.1667,7
서울-1980-02-15-02:14,서울,1980-02-15,02:14,-30,1,ascSign|planetHouses,6.1167,1
서울-1980-02-15-02:14,서울,1980-02-15,02:14,-15,0,,3.0667,0
서울-1980-02-15-02:14,서울,1980-02-15,02:14,-5,0,,1.0333,0
서울-1980-02-15-02:14,서울,1980-02-15,02:14,5,0,,1.0167,0
서울-1980-02-15-02:14,서울,1980-02-15,02:14,15,1,planetHouses,3.0833,1
서울-1980-02-15-02:14,서울,1980-02-15,02:14,30,1,planetHouses,6.1833,2
서울-1980-02-15-02:14,서울,1980-02-15,02:14,60,1,mcSign|planetHouses,12.5167,4
서울-1980-02-15-02:14,서울,1980-02-15,02:14,120,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|mcSign|planetHouses,25.7667,12
서울-1980-02-15-04:28,서울,1980-02-15,04:28,-120,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|mcSign|planetHouses,26.1500,12
서울-1980-02-15-04:28,서울,1980-02-15,04:28,-60,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|planetHouses,13.5000,6
서울-1980-02-15-04:28,서울,1980-02-15,04:28,-30,1,ascSign|planetHouses,6.8833,2
서울-1980-02-15-04:28,서울,1980-02-15,04:28,-15,1,ascSign|planetHouses,3.4833,1
서울-1980-02-15-04:28,서울,1980-02-15,04:28,-5,0,,1.1667,0
서울-1980-02-15-04:28,서울,1980-02-15,04:28,5,0,,1.1833,0
서울-1980-02-15-04:28,서울,1980-02-15,04:28,15,1,planetHouses,3.5833,1
서울-1980-02-15-04:28,서울,1980-02-15,04:28,30,1,mcSign|planetHouses,7.2667,2
서울-1980-02-15-04:28,서울,1980-02-15,04:28,60,1,mcSign|planetHouses,14.9667,7
서울-1980-02-15-04:28,서울,1980-02-15,04:28,120,1,hourPillar|minggongBranch|bodyPalaceBranch|soulStar|ascSign|mcSign|planetHouses,32.1667,12
